zone,qualified_hitters,mean,median,std,min,max,p10,p25,p50,p75,p90
1,154,3.1255,3.1155,1.2231,0.1543,6.7114,1.613,2.2092,3.1155,3.9429,4.8161
2,154,2.7442,2.6559,0.9246,0.5594,5.3726,1.5729,2.0915,2.6559,3.3333,4.0947
3,154,2.3795,2.2039,1.0527,0.5042,5.613,1.1992,1.5772,2.2039,3.0024,3.9471
4,154,3.6736,3.7494,1.2547,0.7767,6.3939,2.0896,2.6406,3.7494,4.6423,5.2982
5,154,3.3983,3.2395,1.0041,1.5789,6.2124,2.1984,2.6677,3.2395,4.129,4.8489
6,154,3.4505,3.2511,1.3047,0.5484,6.4759,1.8625,2.5226,3.2511,4.3881,5.2189
7,154,3.6606,3.7027,1.2806,1.2289,7.1975,1.9015,2.567,3.7027,4.466,5.5004
8,154,3.8391,3.8583,1.0091,0.9311,6.5256,2.5229,3.2283,3.8583,4.5021,5.1291
9,154,3.862,3.8104,1.3424,1.6162,7.3718,2.2074,2.8064,3.8104,4.5686,5.8153
11,154,17.2139,16.1152,5.5458,7.8689,32.216,10.6627,12.9525,16.1152,21.1905,24.7832
12,154,11.7143,11.255,3.631,2.093,24.0978,7.3952,9.0973,11.255,14.092,16.1144
13,154,17.001,16.9565,5.5371,6.6356,30.9707,9.9256,12.35,16.9565,20.5137,24.9118
14,154,23.9375,22.2037,7.1954,11.1409,38.5802,15.2346,17.8614,22.2037,30.4935,33.375
